school,sex,age,Pstatus,studytime,failures,paid,activities,higher,romantic,famrel,freetime,goout,health,absences,G1,G2,G3,G1_10,G2_10,G3_10,school_encoded,sex_encoded,Pstatus_encoded,paid_encoded,activities_encoded,higher_encoded,romantic_encoded,G_Avg
GP,F,18.0,A,2.0,0,no,no,yes,no,4.0,3.0,4,3,6.0,5,6,6,2.5,3.0,3.0,0,0,0,0,0,1,0,5.5
GP,F,17.0,T,2.0,0,no,no,yes,no,5.0,3.0,3,3,4.0,5,5,6,2.5,2.5,3.0,0,0,1,0,0,1,0,5.0
GP,F,15.0,T,2.0,3,yes,no,yes,no,4.0,3.0,2,3,10.0,7,8,10,3.5,4.0,5.0,0,0,1,1,0,1,0,7.5
GP,F,15.0,T,3.0,0,yes,yes,yes,yes,3.0,2.0,2,5,2.0,15,14,15,7.5,7.0,7.5,0,0,1,1,1,1,1,14.5
GP,F,16.0,T,2.0,0,yes,no,yes,no,4.0,3.0,2,5,4.0,6,10,10,3.0,5.0,5.0,0,0,1,1,0,1,0,8.0
GP,M,16.0,T,2.0,0,yes,yes,yes,no,5.0,4.0,2,5,10.0,15,15,15,7.5,7.5,7.5,0,1,1,1,1,1,0,15.0
GP,M,16.0,T,2.0,0,no,no,yes,no,4.0,4.0,4,3,0.0,12,12,11,6.0,6.0,5.5,0,1,1,0,0,1,0,12.0
GP,F,17.0,A,2.0,0,no,no,yes,no,4.0,1.5,4,1,6.0,6,5,6,3.0,2.5,3.0,0,0,0,0,0,1,0,5.5
GP,M,15.0,A,2.0,0,yes,no,yes,no,4.0,2.0,2,1,0.0,16,18,19,8.0,9.0,9.5,0,1,0,1,0,1,0,17.0
GP,M,15.0,T,2.0,0,yes,yes,yes,no,5.0,5.0,1,5,0.0,14,15,15,7.0,7.5,7.5,0,1,1,1,1,1,0,14.5
GP,F,15.0,T,2.0,0,yes,no,yes,no,3.0,3.0,3,2,0.0,10,8,9,5.0,4.0,4.5,0,0,1,1,0,1,0,9.0
GP,F,15.0,T,3.0,0,no,yes,yes,no,5.0,2.0,2,4,4.0,10,12,12,5.0,6.0,6.0,0,0,1,0,1,1,0,11.0
GP,M,15.0,T,1.0,0,yes,yes,yes,no,4.0,3.0,3,5,2.0,14,14,14,7.0,7.0,7.0,0,1,1,1,1,1,0,14.0
GP,M,15.0,T,2.0,0,yes,no,yes,no,5.0,4.0,3,3,2.0,10,10,11,5.0,5.0,5.5,0,1,1,1,0,1,0,10.0
GP,M,15.0,A,3.0,0,no,no,yes,yes,4.0,5.0,2,3,0.0,14,16,16,7.0,8.0,8.0,0,1,0,0,0,1,1,15.0
GP,F,16.0,T,1.0,0,no,no,yes,no,4.0,4.0,4,2,4.0,14,14,14,7.0,7.0,7.0,0,0,1,0,0,1,0,14.0
GP,F,16.0,T,3.0,0,yes,yes,yes,no,3.0,2.0,3,2,6.0,13,14,14,6.5,7.0,7.0,0,0,1,1,1,1,0,13.5
GP,F,16.0,T,2.0,0,no,yes,yes,no,5.0,3.0,2,4,4.0,8,10,10,4.0,5.0,5.0,0,0,1,0,1,1,0,9.0
GP,M,17.0,T,1.0,3,no,yes,yes,no,5.0,5.0,5,5,16.0,6,5,5,3.0,2.5,2.5,0,1,1,0,1,1,0,5.5
GP,M,16.0,T,1.0,0,yes,yes,yes,no,3.0,1.5,3,5,4.0,8,10,10,4.0,5.0,5.0,0,1,1,1,1,1,0,9.0
GP,M,15.0,T,2.0,0,no,no,yes,no,4.0,4.0,1,1,0.0,13,14,15,6.5,7.0,7.5,0,1,1,0,0,1,0,13.5
GP,M,15.0,T,1.0,0,yes,no,yes,no,5.0,4.0,2,5,0.0,12,15,15,6.0,7.5,7.5,0,1,1,1,0,1,0,13.5
GP,M,16.0,T,2.0,0,no,yes,yes,no,4.0,5.0,1,5,2.0,15,15,16,7.5,7.5,8.0,0,1,1,0,1,1,0,15.0
GP,M,16.0,T,2.0,0,no,yes,yes,no,5.0,4.0,4,5,0.0,13,13,12,6.5,6.5,6.0,0,1,1,0,1,1,0,13.0
GP,F,15.0,T,3.0,0,yes,yes,yes,no,4.0,3.0,2,5,2.0,10,9,8,5.0,4.5,4.0,0,0,1,1,1,1,0,9.5
GP,F,16.0,T,1.0,2,yes,no,yes,no,2.5,2.0,2,5,14.0,6,9,8,3.0,4.5,4.0,0,0,1,1,0,1,0,7.5
GP,M,15.0,T,1.0,0,yes,no,yes,no,4.0,2.0,2,5,2.0,12,12,11,6.0,6.0,5.5,0,1,1,1,0,1,0,12.0
GP,M,15.0,T,1.0,0,yes,no,yes,no,2.5,2.0,4,1,4.0,15,16,15,7.5,8.0,7.5,0,1,1,1,0,1,0,15.5
GP,M,16.0,A,2.0,0,no,yes,yes,no,5.0,3.0,3,5,4.0,11,11,11,5.5,5.5,5.5,0,1,0,0,1,1,0,11.0
GP,M,16.0,T,2.0,0,yes,yes,yes,yes,4.0,4.0,5,5,16.0,10,12,11,5.0,6.0,5.5,0,1,1,1,1,1,1,11.0
